year,orig_name,population_count,mean_population_count,park_id,wdpa_pid,iso_3,area_km2
2007,Ithala,70,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2008,Ithala,91,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2009,Ithala,110,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2011,Ithala,119,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2013,Ithala,145,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2014,Ithala,154,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2015,Ithala,162,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2016,Ithala,172,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2017,Ithala,193,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2018,Ithala,182,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2019,Ithala,191,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2020,Ithala,234,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2021,Ithala,244,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2022,Ithala,251,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2023,Ithala,265,144.428571428571,Itala Nature Reserve,1350,ZAF,294.008484780552
2013,HIP,710,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2014,HIP,700,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2015,HIP,700,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2016,HIP,796,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2017,HIP,761,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2018,HIP,788,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2019,HIP,789,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2020,HIP,830,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2021,HIP,1039,635,Hluhluwe – iMfolozi Park,555571105,ZAF,898.295409108194
2008,Total APNR,1690,2091.42857142857,Total APNR,,,
2008,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2009,Total APNR,1340,2091.42857142857,Total APNR,,,
2009,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2010,Total APNR,1242,2091.42857142857,Total APNR,,,
2010,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2011,Total APNR,1651,2091.42857142857,Total APNR,,,
2011,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2012,Total APNR,1666,2091.42857142857,Total APNR,,,
2012,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2013,Total APNR,1593,2091.42857142857,Total APNR,,,
2013,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2014,Total APNR,2094,2091.42857142857,Total APNR,,,
2014,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2015,Total APNR,2772,2091.42857142857,Total APNR,,,
2015,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2016,Klaserie,893,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488511
2016,Timbavati,908,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2016,Umbabat,248,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2016,Balule,581,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.384666048155
2016,Total APNR,2630,2091.42857142857,Total APNR,,,
2016,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2017,Total APNR,1875,2091.42857142857,Total APNR,,,
2017,Thornybush,328,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2018,Klaserie,897,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488511
2018,Timbavati,768,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2018,Umbabat,351,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2018,Balule,565,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.384666048155
2018,Total APNR,2581,2091.42857142857,Total APNR,,,
2018,Thornybush,716,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2019,Balule,721,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.384666048155
2019,Total APNR,2338,2091.42857142857,Total APNR,,,
2019,Thornybush,,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2020,Klaserie,832,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488511
2020,Timbavati,1147,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2020,Umbabat,300,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2020,Balule,883,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.384666048155
2020,Total APNR,3162,2091.42857142857,Total APNR,,,
2020,Thornybush,437,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
2021,Klaserie,718,698.241379310345,Klaserie Private Nature Reserve,300443,ZAF,592.141623488511
2021,Timbavati,875,555.034482758621,Timbavati Private Nature Reserve,555564070,ZAF,336.817781786596
2021,Umbabat,,160.851851851852,Umbabat Private Nature Reserve,555564082,ZAF,145.705120239947
2021,Balule,1053,455.964285714286,Balule Nature Reserve,555571115,ZAF,205.384666048155
2021,Total APNR,2646,2091.42857142857,Total APNR,,,
2021,Thornybush,368,462.25,Thornybush Nature Reserve,300439,ZAF,72.699724624341
